Username,Review
a*****7,Memuaskan banget pelayanannya.packing  sangat rapi.....
jamallzt,
renaldiwinata,Barang telah diterima dengan baik. Thanks seller........ 
d*****t,Pengiriman sangat lama tapi alhamdulillah nyampe makasii atas responnya pengemasan sangat rapi dan aman
i*****8,Manteb bgt kalau iBox punya tidak pernah mengecewakan
c*****d,Super love and super suka. Warna pacific bluenya baguss!
m*****8,Tapi ga ada tas ibox’ya ama kartu terima kasih 
pujjapuky,Ahh Mantapp🥰🤑 uwuww banget deh....
larasatyraharjo,"Cakep,
Pengiriman on time
Kusukaa"
sylus.sy,thankyouuu sukaa bgttt ❤️
brojo24,Fitur Terbaik:barang bagus tapi sayang pengiriman lama
t*****h,"Beli ke 2 disini trnyta yg ke2 ini agak kecewa ,di layar nya  ada retak halus, sudah f u d chat dgn customer service udah kirim foto & video lengkap setelah beberapa hari baru ada info hrs kirim balik device nya dulu & blm pasti dganti device baru, nama nya baru sampe kita pgn nya ganti baru"
kataaldy,"Sebuah pengalaman yang luar biasa beli ponsel seharga motor, online lagi..
Btw aman, trusted..
Packing meskipun ga pake kayu tambahan tp ga masalah,"
chaidirahman,
akbar_revelinz,Oke 👍
tasyatasyaaa,"pengiriman cepet nyampe di hari yg sama. mantapppp. mudah""an awet"
akezhi21,"Produk original, sesuai pesenan, mantaaappp bosskkuuu👍👍👍"
ayurezka21,Ma syaa Allah....mevvah bgt pasific blue nya😍 sayang jne nya lelet sekali ke tempatku 5hr br sampe..
mimibelopashop,"Baru pertama kali beli hp d shoope jg dgn hrg yg woww  alhamdulillah pkt nya sampai dn ori tentunya,mksh jg bt admin ibox yg slalu sbr bls chat dr sy ,sehat dan sukses slalu😊😊😊"
s*****_,
bogotabeautygresikkota,"Ori ibox, baru kali ini pakai shope express dan expedisi lama bangett sampai hampir 2mingguan huhu 😌"
koalapit,"Pengiriman cepat, produk ori, mantap, moga awettttttttttt"
mesrayulianah,
summer_everywear,keren !! 
angeliat,
k*****y,Sampe dengan selamat 👍🏼
f*****z,
andoyo18,WOW
heykosme,Bintang5 cek...
dewivitria,
pujisyaf,barang bagus sempurna mantap
l*****y,Paking aman banget
faizz.store09,Sangat puas
putriwahyunieffendi,
itarosiana93,
hafizibudd,"Gelaa gelaaa parah parah 🔥🔥, thanks ibox 🇲🇨"
zuci_tata,"iBox memang istimewa, PO tgl 12 datang tgl 19 ❤️"
eviemarwati,
ninidya,Ikut PO hari ke 2. Pengiriman tepat waktu. Packing aman dan sejauh ini fisiknya tidak ada yang rusak. Semoga tidak ada masalah kedepannya. Terimakasih👍🏻🙏
indrawan1236,
itsmewa2n,Sesuai ekspektasi...kemasan rapi..barang oke...yg minus cuma di pengiriman...lamaa pake jne....
o*****3,Barang sampai dengan baik tapi ini kalau bisa soal pengiriman harus ditingkat kan lg saya gaakan rugi kalau misal nya di suruh bayar lg buat pengiriman molor 4 hari di pingiriman dan ga jelas barang nya di mana resinya ga bener berasa di kirim dari cina lama banget dari PO terus di kirim nya
jeremiatan,"produk original dan bagus sesuai dan tidak ada kerusakan, pengiriman cepat dan admin ramah👍"
renandra075,Terimakasih atas fast respon dan keramahannnya maaf baru bisa kasih penilaian
xebrieng,"Produk original. Packaging kurang aman, bubble wrap sedikit banget, box tiba dalam kondisi robek."
r*****6,"Pesanan sudah diterima dengan baik, packing aman dengan kayu, tapi agak lama aja dalam pengiriman, semoga awet...terima kasih"
s*****a,"Produk sesuai, pengiriman dan packing aman sampai keluar kota. Terima kasih"
sulleys03,"Pengiriman cepat, dengan packaging yang aman. Barang original. Terima kasih banyak"
marone22,Mksh ibox hp sdh diterima dgn baik dan aman moga awet
agusukapple,"Mantaaap ternyata g sampe Tgl 23 dikirim...thanks iBox...
"
a*****m,"Produk Original
untuk ibox saya agak kecewa kerena gk dapet kantong ibox hitam , yang lain pada dapet.

untuk shopee, pengiriman via shope express standar lama bangeet , udah info resi nya gk jelas, barang tidak diketahui dimana ! 7 hari baru mendarat di aceh . hampir panik karena baru ini pertama x"
ibujenderal,"Good job! Ikutan PO, trs cepet bgt dikirim tepat waktu. Thank youuu"
1313n,
i*****4,"alhamdulillah paketnya sampai dengan selamat , cuma di box nya ada sedikit robekan, tp alhamdulillah dalamnya aman"
ditowijaya,alhamdullah barang sampai dengan selmat kondisi oke aman smua
j*****7,"Produk sampai 2 hari pengiriman, pakcing aman, barang ori ibox. Ada kesalahan dalam pengiriman faktur pembayaran (iphone xr) lalu setelah komplen di kirimkan e-faktur melalui email.
Thanks"
a*****z,Pesanan sesuai gan pokoknya mantap dah cuma agak lama aja sih dipengirimannya selebihnya perfect dah
kafuka.online,"Kotak pengiriman penyok banget, tpi iphone nya aman, tidak lecet, masih brand new"
shortstuff_,"pengiriman cepat sesuai jadwal, aman, respon cepat!!!!!!"
a*****a,baguuuusss bagus bagus bagus sampai dengan selamat yeaaaayy
tako8h,"Akhirnya sampe pas di tgl 18.. keren ,,pengiriman cepet cuma pengemasan nya aja agak mengkhawatirkan plastik nya cuma d belit belit aja tipis pula😂lapisan dalam box pakai buble wrap 
Gpp deh untung sampe dgn aman"
f*****h,"Kualitas produk bagus , cuma rada kecewa aja sih sama packingnya . Bukan kacang goreng loh ini isinya!! Hikssss . Pengirimannya juga , JNE parah asli 💔"
prilaputri,"Pengiriman cepat, barang tidak mengecewakan.
Terimakasih kak, semoga jadi langganan.
Hehehehehe"
suhendybrandon,"Baru kali ini PO dimari belain begadang tpi ga dpt benefit apa2 , mending beli  lgsng tgl 18 , barang ready dan dpt cashback cicilan 1-2 bln , mau saya cancel ga bisa ,  baru ini kali juga belanja barang , barang blm di proses ga bisa di cancel , paraah ibox jualan nya "
e*****g,"cepat banget keren langsung sampai hari itu jg😍😍 
terima kasih banyak ibox keren pelayanannya"
a*****7,"Alhamdulilah paket sudah sampai ditempat. Barang ori karna langsung dari iboxnya. Enggak sabar banget buat langsung pakai karna sudah lumayan lama saya mau beli iPhone ini. Untuk pengiriman nya lumayan cepat, tetapi untuk peeking sedikit kurang yakin karna hanya menggunakan kardus dan bubble."
a*****o,"Thanks pesanannya sudah sampai. 

Hanya saya terkecoh dg gambar di photo product. Saya kira dapat  bonus aksesoris magsafe (untuk yg preorder), ternyata hanya gambar ilustrasi, jadi yg preorder keuntungannya dapat duluan saja, jadi ga ada bonus dll. "
xiaomei94,"Order jam 11, jam 3 uda sampe sesama jakarta pake instant manteb 🥺❤️"
abang.asat89,Mantapppppp
selvishy,"ga dapet tas iboxnya ternyata😞, tapi pengiriman cepet cuman sehari👍🏻"
ihsan_mohamed,"Mantap... Trims
Barang sangat bgus, Packing aman..
Respon cepat dan pengiriman jg cepat. 
recommended banget 👍👍👍"
t*****5,"Bagus, asli cuma yang gw nggak suka temen temen gw jadi pada iri, buat koleksi aja dah"
r*****a,Belum dibuka sih semoga kondisinya aman2 aja terutama selama pengiriman produk karena hanya di bubble wrap dalam kardus yg cukup longgar
m*****a,Paket sampai dengan aman dalam kondisi yang baik...super recommended 👍🏻
christinehakimshop,Hp berfungsi dengan baik............ Mantap daaaah.....
a*****r,"Barang Original.
tetapi system pengiriman lumayan lama, pertama kali pakai shopee express karena autofill, tidak bisa terdeteki posisi saat pegecekan online.
Posisi paket tidak updated.
Call center shopee express tidak memberi solusi setiap di 
Hubungi via telephone.
Pngemasan kurang baik."
m*****r,"Barang original dan kulitas terjamin, penjual ramah dan responsif, feedback cepat. Pengiriman juga OK meskipun sedikit terkendala akibat PPKM darurat di area Jabodetabek"
wahyufd04,"Pengirimam cepat. Packing rapi hanya kota terlalu besar sehingga iphone berikut box nya bisa jadi bergeser geser dan bisa box iphone penyok.
Overall okee... Mantap."
akanunoz,"thank you, paketnya sudah diterima dan aman juga, thanks yaa !! :)"
d*****0,Pengiriman sangat cepat sekali. Dikemas dengan sangat aman dan baik. Respon penjual juga sangat baik & cepat. Aman terpercaya. Terimakasih banyak....
tfebrianto,PO sdh ditangan .... mantabs pas tgl 18 Des nyampe nya... ORI... IBOX mantab.. sy datang ke IBOX Bintaro_plaza buat tanya2 dii respond dgn baik.... the best
juliyanti_lily,keren bangettt 😍😍
milyasurita,
nesyafirgiasagita,"Kualitas produk standar, harga produk standar, pengiriman lama banget, respon penjual standar."
ariefinmuhammad,Mantap....
